,index,product_id,composition,fit,size,color,style_id,color_id,scrape_datetime
57,0,1071707001,Cotton 100%,Relaxed fit,"The model is 183cm/6'0"" and wears a size 32/32",Black,1071707,001,2022-10-31 19:42:43
58,1,1071707001,Cotton 100%,Relaxed fit,"The model is 183cm/6'0"" and wears a size 32/32",Black,1071707,001,2022-10-31 19:42:43
59,0,0938875007,"Cotton 99%, Spandex 1%",Slim fit,,Black,0938875,007,2022-10-31 19:42:43
60,1,0938875007,Cotton 100%,Slim fit,,Black,0938875,007,2022-10-31 19:42:43
61,0,1008549002,"Cotton 99%, Spandex 1%",Regular fit,"The model is 185cm/6'1"" and wears a size 31/32",Denim blue,1008549,002,2022-10-31 19:42:43
62,1,1008549002,"Polyester 65%, Cotton 35%",Regular fit,"The model is 185cm/6'1"" and wears a size 31/32",Denim blue,1008549,002,2022-10-31 19:42:43
63,0,0690449059,"Cotton 98%, Spandex 2%",Skinny fit,"The model is 185cm/6'1"" and wears a size 38/32",Denim blue,0690449,059,2022-10-31 19:42:43
64,1,0690449059,"Polyester 65%, Cotton 35%",Skinny fit,"The model is 185cm/6'1"" and wears a size 38/32",Denim blue,0690449,059,2022-10-31 19:42:43
65,0,0979945002,Cotton 100%,Loose fit,"The model is 185cm/6'1"" and wears a size 31/32",Denim blue,0979945,002,2022-10-31 19:42:43
66,1,0979945002,"Polyester 65%, Cotton 35%",Loose fit,"The model is 185cm/6'1"" and wears a size 31/32",Denim blue,0979945,002,2022-10-31 19:42:43
67,0,1071707002,Cotton 100%,Relaxed fit,"The model is 184cm/6'0"" and wears a size 31/32",Light denim blue,1071707,002,2022-10-31 19:42:43
68,1,1071707002,"Polyester 65%, Cotton 35%",Relaxed fit,"The model is 184cm/6'0"" and wears a size 31/32",Light denim blue,1071707,002,2022-10-31 19:42:43
69,0,1004199002,"Cotton 99%, Spandex 1%",Skinny fit,,Black,1004199,002,2022-10-31 19:42:43
70,0,0979945012,Cotton 100%,Loose fit,,Gray,0979945,012,2022-10-31 19:42:43
71,1,0979945012,"Polyester 65%, Cotton 35%",Loose fit,,Gray,0979945,012,2022-10-31 19:42:43
72,0,0690449064,"Cotton 98%, Spandex 2%",Skinny fit,,Black/Patterned,0690449,064,2022-10-31 19:42:43
73,1,0690449064,"Polyester 65%, Cotton 35%",Skinny fit,,Black/Patterned,0690449,064,2022-10-31 19:42:43
74,0,0690449056,"Cotton 98%, Spandex 2%",Skinny fit,,Light denim blue,0690449,056,2022-10-31 19:42:43
75,1,0690449056,"Polyester 65%, Cotton 35%",Skinny fit,,Light denim blue,0690449,056,2022-10-31 19:42:43
76,0,1024711001,"Cotton 98%, Spandex 2%",Slim fit,"The model is 187cm/6'2"" and wears a size 33/32",Black,1024711,001,2022-10-31 19:42:43
77,1,1024711001,Cotton 100%,Slim fit,"The model is 187cm/6'2"" and wears a size 33/32",Black,1024711,001,2022-10-31 19:42:43
78,0,0985159006,"Cotton 99%, Spandex 1%",Skinny fit,"The model is 185cm/6'1"" and wears a size 31/32",Dark denim blue,0985159,006,2022-10-31 19:42:43
79,1,0985159006,"Polyester 65%, Cotton 35%",Skinny fit,"The model is 185cm/6'1"" and wears a size 31/32",Dark denim blue,0985159,006,2022-10-31 19:42:43
80,0,0811993036,"Cotton 99%, Spandex 1%",Regular fit,,Blue,0811993,036,2022-10-31 19:42:43
81,0,0875105017,Cotton 100%,Relaxed fit,"The model is 185cm/6'1"" and wears a size 31/32",Dark denim blue,0875105,017,2022-10-31 19:42:43
82,1,0875105017,"Polyester 65%, Cotton 35%",Relaxed fit,"The model is 185cm/6'1"" and wears a size 31/32",Dark denim blue,0875105,017,2022-10-31 19:42:43
83,0,1008110003,"Cotton 89%, Elastomultiester 9%, Spandex 2%",Slim fit,"The model is 182cm/6'0"" and wears a size 32/32",Light denim blue,1008110,003,2022-10-31 19:42:43
84,1,1008110003,"Polyester 80%, Cotton 20%",Slim fit,"The model is 182cm/6'0"" and wears a size 32/32",Light denim blue,1008110,003,2022-10-31 19:42:43
85,0,1107750001,Cotton 100%,Relaxed fit,,Denim blue,1107750,001,2022-10-31 19:42:43
86,1,1107750001,"Polyester 65%, Cotton 35%",Relaxed fit,,Denim blue,1107750,001,2022-10-31 19:42:43
87,0,1071707003,Cotton 100%,Relaxed fit,"The model is 182cm/6'0"" and wears a size 32/32",Dark denim blue,1071707,003,2022-10-31 19:42:43
88,1,1071707003,"Polyester 65%, Cotton 35%",Relaxed fit,"The model is 182cm/6'0"" and wears a size 32/32",Dark denim blue,1071707,003,2022-10-31 19:42:43
89,0,0875105024,Cotton 100%,Relaxed fit,"The model is 185cm/6'1"" and wears a size 31/32",Light denim blue,0875105,024,2022-10-31 19:42:43
90,1,0875105024,"Polyester 65%, Cotton 35%",Relaxed fit,"The model is 185cm/6'1"" and wears a size 31/32",Light denim blue,0875105,024,2022-10-31 19:42:43
91,0,0993887007,"Cotton 80%, Polyester 19%, Spandex 1%",Regular fit,,Black/No fade black,0993887,007,2022-10-31 19:42:43
92,0,1013317002,"Cotton 78%, Polyester 21%, Spandex 1%",Regular fit,,Denim blue,1013317,002,2022-10-31 19:42:43
93,0,0811993039,"Cotton 98%, Spandex 2%",Regular fit,"The model is 185cm/6'1"" and wears a size 31/32",Dark denim blue,0811993,039,2022-10-31 19:42:43
94,0,0811993040,"Cotton 98%, Spandex 2%",Regular fit,"The model is 183cm/6'0"" and wears a size 31/32",Black,0811993,040,2022-10-31 19:42:43
95,0,1100162003,"Cotton 99%, Spandex 1%",Regular fit,"The model is 187cm/6'2"" and wears a size 31/32",Denim gray,1100162,003,2022-10-31 19:42:43
96,1,1100162003,"Polyester 65%, Cotton 35%",Regular fit,"The model is 187cm/6'2"" and wears a size 31/32",Denim gray,1100162,003,2022-10-31 19:42:43
